dataset_name,feature_index,mean,std,variance,min,max,range,coefficient_of_variation,q1,median,q3,iqr,is_constant,skewness,kurtosis,class_0_mean,class_0_std,class_1_mean,class_1_std,class_2_mean,class_2_std,class_3_mean,class_3_std,class_4_mean,class_4_std,class_5_mean,class_5_std,class_6_mean,class_6_std,class_7_mean,class_7_std
ecoli,0,0.5000595238095238,0.1943441260086318,0.03776963931405895,0.0,0.89,0.89,0.38864197734235945,0.34,0.5,0.6625000000000001,0.32250000000000006,False,-0.16521389085837643,-0.8642657555049342,0.3635664335664336,0.12339263385663568,0.4784415584415584,0.19324343664239532,0.725,0.025000000000000022,0.74,0.10999999999999999,0.7260000000000001,0.10698998618028298,0.6725,0.06766646141183977,0.6980000000000001,0.03969886648255841,0.6521153846153847,0.08947145093572798
ecoli,1,0.5,0.14793619924690188,0.02188511904761905,0.16,1.0,0.84,0.2958723925763559,0.4,0.47,0.57,0.16999999999999993,False,0.7717243286296919,0.23776666007213665,0.4097202797202797,0.08927010992373584,0.49662337662337663,0.08776607618469767,0.47000000000000003,0.08000000000000002,0.51,0.020000000000000018,0.4588571428571428,0.09079872335702363,0.7100000000000001,0.11691877522451218,0.5120000000000001,0.04118252056394799,0.6998076923076924,0.12787449352656124
ecoli,2,0.4954761904761905,0.08836349119383931,0.007808106575963718,0.48,1.0,0.52,0.17834053605181285,0.48,0.48,0.48,0.0,False,5.534498608422061,28.630674846625766,0.4799999999999999,5.551115123125783e-17,0.48675324675324655,0.05887344027639353,1.0,0.0,0.48,0.0,0.4948571428571429,0.08663128529484447,0.506,0.11333137253205752,1.0,0.0,0.48000000000000004,5.551115123125783e-17
ecoli,3,0.5014880952380952,0.02723661490732608,0.0007418331916099774,0.5,1.0,0.5,0.05431158710014617,0.5,0.5,0.5,0.0,False,18.248369381252314,331.0029850746268,0.5,0.0,0.5,0.0,0.75,0.25,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
ecoli,4,0.5000297619047619,0.12219349047403885,0.014931249114229024,0.0,0.88,0.88,0.24437243008264797,0.42,0.495,0.57,0.14999999999999997,False,0.0625856922665763,1.2979581125078568,0.4544755244755244,0.08761548480247358,0.5361038961038961,0.11337967297783423,0.455,0.05499999999999999,0.535,0.0050000000000000044,0.5588571428571427,0.11313131254233294,0.7389999999999999,0.09153687781435416,0.542,0.10007996802557444,0.43673076923076926,0.08477847045833299
ecoli,5,0.5001785714285715,0.2154300052450075,0.04641008715986395,0.03,1.0,0.97,0.4307061782408053,0.33,0.455,0.71,0.37999999999999995,False,0.26136274190472,-1.0470761461498022,0.31265734265734263,0.09886736929755767,0.7575324675324675,0.10256649213800625,0.645,0.175,0.64,0.12,0.7440000000000001,0.08312469119169279,0.4625,0.08359874400970387,0.5640000000000001,0.018547236990991374,0.46807692307692317,0.10001996842051208
ecoli,6,0.49973214285714296,0.20909866016099302,0.04372224968112245,0.0,0.99,0.99,0.4184214663105087,0.35,0.43,0.71,0.36,False,0.4123685615788973,-0.9421146557003399,0.3952447552447553,0.09572565817653961,0.7303896103896104,0.16559567061316013,0.57,0.26999999999999996,0.5700000000000001,0.22000000000000003,0.748,0.09416702486236131,0.30550000000000005,0.08176032044946986,0.22199999999999998,0.12432216214336043,0.3744230769230769,0.11711948963375399
glass,0,1.5183654205607477,0.003029759954827502,9.179445383876347e-06,1.51115,1.53393,0.022780000000000022,0.0019954089403290626,1.5165225,1.51768,1.5191575,0.002634999999999943,False,1.6140150456619853,4.789354225457543,,,1.5187182857142856,0.0022518379613288356,1.518618552631579,0.0037770295011414897,1.5179635294117646,0.0018591425638353665,,,1.5189276923076922,0.0032141134771172895,1.5174555555555556,0.002937588244012093,1.5171162068965516,0.0025008032003436516
glass,1,13.407850467289718,0.8146933693428365,0.6637252860511834,10.73,17.38,6.649999999999999,0.060762414581126786,12.9075,13.3,13.825,0.9174999999999986,False,0.4509917200116132,2.9534765835002226,,,13.242285714285714,0.49572219013870905,13.11171052631579,0.6597754565358517,13.437058823529412,0.4917527440143824,,,12.827692307692306,0.7465526293586856,14.646666666666667,1.0220241353966808,14.442068965517244,0.6744212298287751
glass,2,2.684532710280374,1.4390337868112208,2.0708182395842423,0.0,4.49,4.49,0.5360462831911125,2.1149999999999998,3.48,3.6,1.4850000000000003,False,-1.1444648495986702,-0.4287015579881115,,,3.552428571428572,0.24527206884417563,3.0021052631578944,1.2076372274529277,3.5435294117647054,0.15792556610335687,,,0.7738461538461539,0.9599482234558155,1.3055555555555556,1.0343877535486188,0.5382758620689655,1.0982433276185837
